Month,Day,Team,Away_Loss
4,3,Cardinals,1
4,4,Mariners,1
4,4,Mets,1
4,4,Phillies,1
4,4,Twins,1
4,5,Blue Jays,1
4,5,Cardinals,1
4,6,Astros,1
4,6,Blue Jays,1
4,6,Cardinals,1
4,6,Giants,1
4,6,Phillies,1
4,6,Red Sox,1
4,6,Rockies,1
4,6,Twins,1
4,7,Astros,1
4,7,Dodgers,1
4,7,Phillies,1
4,7,Twins,1
4,7,White Sox,1
4,8,Phillies,1
4,8,Rangers,1
4,8,Rays,1
4,8,Yankees,1
4,9,Astros,1
4,9,Cubs,1
4,9,Dodgers,1
4,9,Indians,1
4,9,Pirates,1
4,9,Twins,2
4,10,Astros,1
4,10,Dodgers,1
4,10,Marlins,1
4,10,Padres,1
4,10,Pirates,1
4,10,Rangers,1
4,10,Rays,1
4,10,Red Sox,1
4,10,Twins,1
4,11,Braves,1
4,11,Brewers,1
4,12,Braves,1
4,12,Indians,1
4,12,Padres,1
4,12,Pirates,1
4,12,Reds,1
4,12,Royals,1
4,13,Braves,1
4,13,Marlins,1
4,13,Orioles,1
4,13,Padres,1
4,13,Rangers,1
4,13,Yankees,1
4,14,Braves,1
4,14,Brewers,1
4,14,Diamondbacks,1
4,14,Giants,2
4,14,Padres,1
4,14,Reds,1
4,14,Yankees,1
4,15,Blue Jays,1
4,15,Diamondbacks,1
4,15,Orioles,1
4,15,Reds,1
4,16,Angels,2
4,16,Blue Jays,1
4,16,Brewers,1
4,16,Giants,1
4,16,Mets,1
4,16,Reds,1
4,16,Rockies,1
4,16,Royals,1
4,16,Tigers,1
4,16,White Sox,1
4,17,Angels,1
4,17,Brewers,1
4,17,Diamondbacks,1
4,17,Mariners,1
4,17,Nationals,1
4,17,Orioles,1
4,17,Reds,1
4,17,Royals,1
4,17,Tigers,1
4,17,White Sox,1
4,18,Giants,1
4,18,Nationals,1
4,19,Brewers,1
4,19,Dodgers,1
4,19,Mariners,1
4,19,Rockies,1
4,19,Tigers,1
4,20,Angels,2
4,20,Astros,1
4,20,Blue Jays,1
4,20,Cubs,1
4,20,Mets,1
4,20,Pirates,1
4,20,Rays,1
4,20,Rockies,1
4,21,Astros,1
4,21,Blue Jays,1
4,21,Nationals,1
4,21,Pirates,1
4,21,Tigers,1
4,21,Twins,1
4,22,Astros,1
4,22,Rays,1
4,22,Twins,1
4,23,Athletics,1
4,23,Cardinals,1
4,23,Cubs,1
4,23,Dodgers,1
4,23,Marlins,1
4,23,Orioles,1
4,23,Rangers,2
4,23,Rays,1
4,23,Red Sox,1
4,23,Twins,1
4,24,Athletics,1
4,24,Mariners,1
4,24,Marlins,1
4,24,Orioles,1
4,24,Phillies,1
4,24,Pirates,1
4,24,Rangers,1
4,24,Twins,1
4,25,Athletics,1
4,25,Orioles,1
4,25,Reds,1
4,26,Astros,1
4,26,Cardinals,1
4,26,Indians,1
4,26,Orioles,1
4,26,Padres,1
4,26,Reds,1
4,26,Royals,1
4,27,Astros,1
4,27,Athletics,1
4,27,Braves,1
4,27,Brewers,1
4,27,Indians,1
4,27,Padres,2
4,27,Reds,1
4,27,Royals,1
4,27,Yankees,1
4,28,Athletics,1
4,28,Brewers,1
4,28,Royals,1
4,28,White Sox,1
4,28,Yankees,1
4,29,Braves,1
4,29,Cardinals,1
4,29,Giants,1
4,29,Indians,1
4,29,Reds,1
4,29,White Sox,1
4,29,Yankees,1
4,30,Angels,1
4,30,Astros,2
4,30,Blue Jays,1
4,30,Giants,1
4,30,Indians,1
4,30,Reds,1
4,30,Royals,1
4,30,Yankees,1
5,1,Angels,1
5,1,Indians,1
5,1,Marlins,1
5,1,Padres,1
5,1,Royals,1
5,2,Angels,1
5,2,Braves,1
